"統計名：","都道府県データ 社会生活統計指標"
"表番号：","0000010209"
"表題：","Ｉ　健康・医療"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","#I0520101","","#I0520102",""
"調査年 コード","調査年","地域 コード","地域","/Ｉ　健康・医療","#I0520101_平均余命［０歳・男］【年】","注釈","#I0520102_平均余命［０歳・女］【年】","注釈"
"1975100000","1975年度","01000","北海道","","71.46","","76.74",""
"1975100000","1975年度","02000","青森県","","69.69","","76.50",""
"1975100000","1975年度","03000","岩手県","","70.27","","76.20",""
"1975100000","1975年度","04000","宮城県","","71.50","","77.00",""
"1975100000","1975年度","05000","秋田県","","70.17","","75.86",""
"1975100000","1975年度","06000","山形県","","70.96","","76.35",""
"1975100000","1975年度","07000","福島県","","70.71","","76.35",""
"1975100000","1975年度","08000","茨城県","","70.58","","76.12",""
"1975100000","1975年度","09000","栃木県","","70.61","","76.31",""
"1975100000","1975年度","10000","群馬県","","71.23","","76.42",""
"1975100000","1975年度","11000","埼玉県","","71.88","","76.61",""
"1975100000","1975年度","12000","千葉県","","71.99","","77.07",""
"1975100000","1975年度","13000","東京都","","73.19","","77.89",""
"1975100000","1975年度","14000","神奈川県","","72.95","","77.85",""
"1975100000","1975年度","15000","新潟県","","71.14","","76.76",""
"1975100000","1975年度","16000","富山県","","71.11","","76.56",""
"1975100000","1975年度","17000","石川県","","71.63","","76.58",""
"1975100000","1975年度","18000","福井県","","72.21","","76.81",""
"1975100000","1975年度","19000","山梨県","","71.66","","77.43",""
"1975100000","1975年度","20000","長野県","","72.40","","77.00",""
"1975100000","1975年度","21000","岐阜県","","72.18","","76.41",""
"1975100000","1975年度","22000","静岡県","","72.32","","77.64",""
"1975100000","1975年度","23000","愛知県","","72.39","","76.63",""
"1975100000","1975年度","24000","三重県","","71.75","","76.84",""
"1975100000","1975年度","25000","滋賀県","","71.51","","76.47",""
"1975100000","1975年度","26000","京都府","","72.63","","77.30",""
"1975100000","1975年度","27000","大阪府","","71.60","","76.57",""
"1975100000","1975年度","28000","兵庫県","","71.82","","77.13",""
"1975100000","1975年度","29000","奈良県","","72.00","","76.76",""
"1975100000","1975年度","30000","和歌山県","","71.25","","76.81",""
"1975100000","1975年度","31000","鳥取県","","71.42","","77.45",""
"1975100000","1975年度","32000","島根県","","71.55","","77.53",""
"1975100000","1975年度","33000","岡山県","","72.25","","77.76",""
"1975100000","1975年度","34000","広島県","","72.04","","77.48",""
"1975100000","1975年度","35000","山口県","","71.20","","77.27",""
"1975100000","1975年度","36000","徳島県","","70.71","","76.00",""
"1975100000","1975年度","37000","香川県","","71.91","","77.12",""
"1975100000","1975年度","38000","愛媛県","","71.25","","76.91",""
"1975100000","1975年度","39000","高知県","","70.20","","76.50",""
"1975100000","1975年度","40000","福岡県","","71.41","","77.44",""
"1975100000","1975年度","41000","佐賀県","","71.10","","76.83",""
"1975100000","1975年度","42000","長崎県","","70.74","","76.46",""
"1975100000","1975年度","43000","熊本県","","71.36","","76.89",""
"1975100000","1975年度","44000","大分県","","71.03","","76.73",""
"1975100000","1975年度","45000","宮崎県","","70.75","","76.77",""
"1975100000","1975年度","46000","鹿児島県","","70.54","","76.53",""
"1975100000","1975年度","47000","沖縄県","","72.15","","78.96",""
"1980100000","1980年度","01000","北海道","","72.96","","78.58",""
"1980100000","1980年度","02000","青森県","","71.41","","78.39",""
"1980100000","1980年度","03000","岩手県","","72.72","","78.59",""
"1980100000","1980年度","04000","宮城県","","73.40","","78.85",""
"1980100000","1980年度","05000","秋田県","","72.48","","78.64",""
"1980100000","1980年度","06000","山形県","","73.12","","78.58",""
"1980100000","1980年度","07000","福島県","","72.90","","78.46",""
"1980100000","1980年度","08000","茨城県","","72.78","","78.35",""
"1980100000","1980年度","09000","栃木県","","72.86","","78.13",""
"1980100000","1980年度","10000","群馬県","","73.72","","78.46",""
"1980100000","1980年度","11000","埼玉県","","73.79","","78.68",""
"1980100000","1980年度","12000","千葉県","","73.85","","79.07",""
"1980100000","1980年度","13000","東京都","","74.46","","79.49",""
"1980100000","1980年度","14000","神奈川県","","74.52","","79.55",""
"1980100000","1980年度","15000","新潟県","","73.29","","78.97",""
"1980100000","1980年度","16000","富山県","","73.27","","78.93",""
"1980100000","1980年度","17000","石川県","","73.48","","78.88",""
"1980100000","1980年度","18000","福井県","","74.24","","79.18",""
"1980100000","1980年度","19000","山梨県","","73.26","","79.21",""
"1980100000","1980年度","20000","長野県","","74.50","","79.44",""
"1980100000","1980年度","21000","岐阜県","","74.13","","78.47",""
"1980100000","1980年度","22000","静岡県","","74.10","","79.62",""
"1980100000","1980年度","23000","愛知県","","74.08","","78.73",""
"1980100000","1980年度","24000","三重県","","73.83","","79.07",""
"1980100000","1980年度","25000","滋賀県","","73.61","","78.64",""
"1980100000","1980年度","26000","京都府","","74.20","","79.19",""
"1980100000","1980年度","27000","大阪府","","72.96","","78.36",""
"1980100000","1980年度","28000","兵庫県","","73.31","","78.84",""
"1980100000","1980年度","29000","奈良県","","73.43","","78.65",""
"1980100000","1980年度","30000","和歌山県","","72.79","","78.47",""
"1980100000","1980年度","31000","鳥取県","","73.02","","79.45",""
"1980100000","1980年度","32000","島根県","","73.38","","79.42",""
"1980100000","1980年度","33000","岡山県","","74.21","","79.78",""
"1980100000","1980年度","34000","広島県","","73.69","","79.51",""
"1980100000","1980年度","35000","山口県","","72.96","","79.14",""
"1980100000","1980年度","36000","徳島県","","72.54","","78.48",""
"1980100000","1980年度","37000","香川県","","74.28","","79.64",""
"1980100000","1980年度","38000","愛媛県","","73.16","","79.43",""
"1980100000","1980年度","39000","高知県","","72.20","","78.98",""
"1980100000","1980年度","40000","福岡県","","72.99","","79.21",""
"1980100000","1980年度","41000","佐賀県","","73.09","","79.02",""
"1980100000","1980年度","42000","長崎県","","72.41","","78.67",""
"1980100000","1980年度","43000","熊本県","","73.61","","79.37",""
"1980100000","1980年度","44000","大分県","","73.21","","78.54",""
"1980100000","1980年度","45000","宮崎県","","72.77","","78.84",""
"1980100000","1980年度","46000","鹿児島県","","72.53","","78.44",""
"1980100000","1980年度","47000","沖縄県","","74.52","","81.72",""
"1985100000","1985年度","01000","北海道","","74.50","","80.42",""
"1985100000","1985年度","02000","青森県","","73.05","","79.90",""
"1985100000","1985年度","03000","岩手県","","74.27","","80.69",""
"1985100000","1985年度","04000","宮城県","","75.11","","80.69",""
"1985100000","1985年度","05000","秋田県","","74.12","","80.29",""
"1985100000","1985年度","06000","山形県","","74.99","","80.86",""
"1985100000","1985年度","07000","福島県","","74.38","","80.25",""
"1985100000","1985年度","08000","茨城県","","74.35","","79.97",""
"1985100000","1985年度","09000","栃木県","","74.36","","79.98",""
"1985100000","1985年度","10000","群馬県","","75.11","","80.39",""
"1985100000","1985年度","11000","埼玉県","","75.20","","80.65",""
"1985100000","1985年度","12000","千葉県","","75.27","","80.88",""
"1985100000","1985年度","13000","東京都","","75.60","","81.09",""
"1985100000","1985年度","14000","神奈川県","","75.59","","81.22",""
"1985100000","1985年度","15000","新潟県","","74.83","","80.86",""
"1985100000","1985年度","16000","富山県","","74.81","","80.80",""
"1985100000","1985年度","17000","石川県","","75.28","","80.89",""
"1985100000","1985年度","18000","福井県","","75.64","","81.01",""
"1985100000","1985年度","19000","山梨県","","75.02","","80.94",""
"1985100000","1985年度","20000","長野県","","75.91","","81.13",""
"1985100000","1985年度","21000","岐阜県","","75.53","","80.31",""
"1985100000","1985年度","22000","静岡県","","75.48","","81.37",""
"1985100000","1985年度","23000","愛知県","","75.44","","80.51",""
"1985100000","1985年度","24000","三重県","","74.87","","80.61",""
"1985100000","1985年度","25000","滋賀県","","75.34","","80.63",""
"1985100000","1985年度","26000","京都府","","75.39","","80.68",""
"1985100000","1985年度","27000","大阪府","","74.01","","79.84",""
"1985100000","1985年度","28000","兵庫県","","74.47","","80.40",""
"1985100000","1985年度","29000","奈良県","","74.87","","80.27",""
"1985100000","1985年度","30000","和歌山県","","74.19","","80.13",""
"1985100000","1985年度","31000","鳥取県","","74.40","","81.11",""
"1985100000","1985年度","32000","島根県","","75.30","","81.60",""
"1985100000","1985年度","33000","岡山県","","75.28","","81.31",""
"1985100000","1985年度","34000","広島県","","75.19","","80.94",""
"1985100000","1985年度","35000","山口県","","74.45","","81.16",""
"1985100000","1985年度","36000","徳島県","","74.35","","80.56",""
"1985100000","1985年度","37000","香川県","","75.61","","81.28",""
"1985100000","1985年度","38000","愛媛県","","74.75","","81.01",""
"1985100000","1985年度","39000","高知県","","74.04","","80.97",""
"1985100000","1985年度","40000","福岡県","","74.19","","80.91",""
"1985100000","1985年度","41000","佐賀県","","74.32","","80.94",""
"1985100000","1985年度","42000","長崎県","","74.09","","80.81",""
"1985100000","1985年度","43000","熊本県","","75.24","","81.47",""
"1985100000","1985年度","44000","大分県","","74.82","","80.58",""
"1985100000","1985年度","45000","宮崎県","","74.39","","80.84",""
"1985100000","1985年度","46000","鹿児島県","","74.09","","80.34",""
"1985100000","1985年度","47000","沖縄県","","76.34","","83.70",""
"1990100000","1990年度","01000","北海道","","75.67","","81.92",""
"1990100000","1990年度","02000","青森県","","74.18","","81.49",""
"1990100000","1990年度","03000","岩手県","","75.43","","81.93",""
"1990100000","1990年度","04000","宮城県","","76.29","","82.15",""
"1990100000","1990年度","05000","秋田県","","75.29","","81.80",""
"1990100000","1990年度","06000","山形県","","76.37","","82.10",""
