,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
0,2015年度,01-100,北海道,札幌市,1952356,910614.0,1041742.0
11,2015年度,01-202,北海道,函館市,265979,120376.0,145603.0
12,2015年度,01-203,北海道,小樽市,121924,54985.0,66939.0
13,2015年度,01-204,北海道,旭川市,339605,156402.0,183203.0
14,2015年度,01-205,北海道,室蘭市,88564,43143.0,45421.0
15,2015年度,01-206,北海道,釧路市,174742,82185.0,92557.0
16,2015年度,01-207,北海道,帯広市,169327,80994.0,88333.0
17,2015年度,01-208,北海道,北見市,121226,58020.0,63206.0
18,2015年度,01-209,北海道,夕張市,8843,4092.0,4751.0
19,2015年度,01-210,北海道,岩見沢市,84499,39319.0,45180.0
20,2015年度,01-211,北海道,網走市,39077,19819.0,19258.0
21,2015年度,01-212,北海道,留萌市,22221,10516.0,11705.0
22,2015年度,01-213,北海道,苫小牧市,172737,84605.0,88132.0
23,2015年度,01-214,北海道,稚内市,36380,17809.0,18571.0
24,2015年度,01-215,北海道,美唄市,23035,10753.0,12282.0
25,2015年度,01-216,北海道,芦別市,14676,6667.0,8009.0
26,2015年度,01-217,北海道,江別市,120636,57391.0,63245.0
27,2015年度,01-218,北海道,赤平市,11105,5025.0,6080.0
28,2015年度,01-219,北海道,紋別市,23109,10954.0,12155.0
29,2015年度,01-220,北海道,士別市,19914,9382.0,10532.0
30,2015年度,01-221,北海道,名寄市,29048,14072.0,14976.0
31,2015年度,01-222,北海道,三笠市,9076,4075.0,5001.0
32,2015年度,01-223,北海道,根室市,26917,12862.0,14055.0
33,2015年度,01-224,北海道,千歳市,95648,48588.0,47060.0
34,2015年度,01-225,北海道,滝川市,41192,19475.0,21717.0
35,2015年度,01-226,北海道,砂川市,17694,8216.0,9478.0
36,2015年度,01-227,北海道,歌志内市,3585,1652.0,1933.0
37,2015年度,01-228,北海道,深川市,21909,10118.0,11791.0
38,2015年度,01-229,北海道,富良野市,22936,10783.0,12153.0
39,2015年度,01-230,北海道,登別市,49625,23533.0,26092.0
40,2015年度,01-231,北海道,恵庭市,69702,33781.0,35921.0
41,2015年度,01-233,北海道,伊達市,34995,16279.0,18716.0
