,年度次,ID,都道府县,市町村,現年課税,人口数量,人均烟税
0,2015年度,01-100,北海道,札幌市,16200206.0,1952356.0,8.2977725373856
1,2015年度,01-202,北海道,函館市,2566741.0,265979.0,9.65016411070047
2,2015年度,01-203,北海道,小樽市,1045317.0,121924.0,8.573513008103408
3,2015年度,01-204,北海道,旭川市,3081043.0,339605.0,9.072431206843245
4,2015年度,01-205,北海道,室蘭市,798421.0,88564.0,9.015186757599025
5,2015年度,01-206,北海道,釧路市,1769319.0,174742.0,10.125321903148642
6,2015年度,01-207,北海道,帯広市,1664355.0,169327.0,9.829235739131976
7,2015年度,01-208,北海道,北見市,1150817.0,121226.0,9.493153283948988
8,2015年度,01-209,北海道,夕張市,71274.0,8843.0,8.059934411398846
9,2015年度,01-210,北海道,岩見沢市,732927.0,84499.0,8.673794956153328
10,2015年度,01-211,北海道,網走市,385857.0,39077.0,9.874273869539627
11,2015年度,01-212,北海道,留萌市,223964.0,22221.0,10.078934341388777
12,2015年度,01-213,北海道,苫小牧市,1849006.0,172737.0,10.704168765232694
13,2015年度,01-214,北海道,稚内市,426004.0,36380.0,11.709840571742715
14,2015年度,01-215,北海道,美唄市,194451.0,23035.0,8.441545474278271
15,2015年度,01-216,北海道,芦別市,124448.0,14676.0,8.479694739711093
16,2015年度,01-217,北海道,江別市,815301.0,120636.0,6.758355714712026
17,2015年度,01-218,北海道,赤平市,102368.0,11105.0,9.218190004502476
18,2015年度,01-219,北海道,紋別市,280701.0,23109.0,12.146825911982345
19,2015年度,01-220,北海道,士別市,184546.0,19914.0,9.267148739580195
20,2015年度,01-221,北海道,名寄市,255230.0,29048.0,8.786491324703938
21,2015年度,01-222,北海道,三笠市,89976.0,9076.0,9.913618334067872
22,2015年度,01-223,北海道,根室市,336919.0,26917.0,12.51695954229669
23,2015年度,01-224,北海道,千歳市,878529.0,95648.0,9.185022164603547
24,2015年度,01-225,北海道,滝川市,406534.0,41192.0,9.86924645562245
25,2015年度,01-226,北海道,砂川市,191044.0,17694.0,10.79710636373912
26,2015年度,01-227,北海道,歌志内市,24920.0,3585.0,6.951185495118549
27,2015年度,01-228,北海道,深川市,210194.0,21909.0,9.5939568213976
28,2015年度,01-229,北海道,富良野市,196039.0,22936.0,8.547218346703872
29,2015年度,01-230,北海道,登別市,439298.0,49625.0,8.852352644836271
30,2015年度,01-231,北海道,恵庭市,521676.0,69702.0,7.484376345011621
31,2015年度,01-233,北海道,伊達市,325792.0,34995.0,9.309672810401485
