,都道府県,BMI男性平均,BMI女性平均,腹围男性平均,腹围女性平均,血糖男性平均,血糖女性平均
0,北海道,24.275967992569,22.4675311575163,85.2395677702529,79.0407704721618,100.958792900955,92.8829420180089
1,青森県,24.1292364248572,22.8289197928136,84.4333650777857,79.9422578314937,104.199264240506,95.6696479333372
2,岩手県,24.0688236530604,22.7983681120886,84.7348513420281,80.7028371710525,102.763703535296,94.5875741628886
3,宮城県,24.1150284325415,22.5874595328248,85.459517920325,80.5945036295331,101.872559589873,93.5604857469542
4,秋田県,24.0875887718055,22.7637647286072,85.0668597288272,80.2689445974012,103.780572058553,95.413050278114
5,山形県,23.8434575599349,22.5804420489075,84.3938309457101,79.786917268668,100.909362192525,93.740502269793
6,福島県,24.0963846406803,22.819309772488,85.2498199955842,80.7191392863831,102.689012217937,95.5692745949989
7,茨城県,24.0446487809507,22.5299571335191,85.0456301208958,80.0921832583522,102.875485820607,94.7728784226466
8,栃木県,23.9766563648152,22.5311650199728,85.0403339803139,80.0514744840668,100.384537816829,93.8629664866772
9,群馬県,23.8315509835346,22.4579670346503,84.7381926250342,79.9163326315359,100.96627994414,94.4681539433464
10,埼玉県,23.9209535549236,22.3074839459036,84.820159815363,79.5622700849919,100.443071392662,93.4169973636498
11,千葉県,24.036605984975,22.2767072412536,85.2703530451991,79.7986257517848,100.544962265852,93.060045690432
12,東京都,23.9181617782424,21.9242314720939,84.9793278717441,78.7708221126981,99.646497118718,92.354252630713
13,神奈川県,23.9103988625157,21.9741747825799,84.7933670952762,78.8790257024702,100.284715944331,93.0799268890282
14,新潟県,23.5269247145145,22.1215032128852,83.9768759887913,79.4698018945718,100.469262678011,93.4352557673019
15,富山県,23.7912152241521,22.2206785694377,84.980913688398,80.3571784920185,102.30084857858,94.2948294485058
16,石川県,23.7904418101925,22.1801739906482,85.0505720306024,79.9857047948499,100.269874107773,92.522712243176
17,福井県,23.7741451261289,22.16927176449,84.9011135609451,79.5513425901621,101.793697431509,94.1694140890288
18,山梨県,23.6967746438509,22.0293775607333,84.7389993342456,79.3115947878825,101.228492809851,94.5156526943351
19,長野県,23.6276693508362,22.1126586846412,84.1572767833104,79.0463206140973,101.044337634196,94.1680291478778
20,岐阜県,23.5863576481966,21.9908391685229,83.8777058526467,78.9193909527546,98.5003929130742,91.457445101145
21,静岡県,23.644832836971,22.0136188435718,84.1920528941249,79.0512324190642,100.734011120547,93.4195871613684
22,愛知県,23.7619060699113,22.1025353791193,84.49896015021,79.5951551251154,100.58918676622,93.322266050939
23,三重県,23.8029108376206,22.1938801687674,84.6543655731773,79.4624211051118,100.769133344363,93.5321604737768
24,滋賀県,23.684259529582,22.0856426765471,84.5938084645254,79.1123634482547,98.8559051023109,91.6258653278915
25,京都府,23.6011260419115,21.8423574858503,84.5235573214151,78.7208687916846,99.419060729203,92.3335684310752
26,大阪府,23.8766640690308,22.0774262768908,85.0742632136095,79.2471246523061,100.048364232464,93.0665540389681
27,兵庫県,23.7771464451409,21.9478953221157,84.9527952797427,79.0870228197918,100.664529568854,93.2543181516985
28,奈良県,23.8376501608931,22.0185709278667,85.2071876975389,79.4357313902571,99.4920583734622,92.0588102797322
29,和歌山県,23.8748389475236,22.1432433724307,85.3963336002359,79.2542664459567,101.892783971476,93.995813101966
30,鳥取県,23.5580444295414,22.1687759943372,84.2612987100128,79.5079278451197,101.394555143651,94.4782656301324
31,島根県,23.5064500435666,22.1363556928155,84.1493289643265,79.8272481324449,103.403353142135,95.7422328279992
32,岡山県,23.7928188456331,22.3299681637909,84.8097758128132,79.7276799046287,102.803646914149,95.1380623047289
33,広島県,23.834448030638,22.1853825432611,84.8740125190928,79.5591576733586,102.717939708808,94.7907710006604
34,山口県,23.6242678353238,22.0691152674702,84.1809117111005,79.4372739916549,102.051788525303,94.2570356284021
35,徳島県,24.1319656174946,22.5900886856233,85.4582976140803,79.9102589271501,101.514388100276,93.9375955641434
36,香川県,23.9847209459898,22.4704135497104,85.1537610249743,79.7035697760968,102.366801098222,95.3873804442336
37,愛媛県,24.0541086293403,22.4409642715587,84.862828710535,79.5400670022171,101.31098366846,92.5629228687415
38,高知県,23.9758490293429,22.507888852033,85.2913227971991,80.4752665127276,104.222944042521,96.1126128767444
39,福岡県,23.8469742073883,22.1079357130432,85.0931322379782,80.0689752069145,101.965759373085,93.9342294691627
40,佐賀県,23.7443148230036,22.3565441887196,84.9297810932534,80.657333977868,101.212237342927,93.0049174108445
41,長崎県,23.9002589320684,22.4714964126552,84.8809649899161,80.3214569745838,101.924672247131,94.3188961946869
42,熊本県,23.9548154275613,22.3785153397987,85.3559728562881,80.769592873008,103.235901188754,95.1075502059732
43,大分県,23.9766411931102,22.5068811706346,84.8920665752306,80.6731291696807,101.841497002754,94.2988960957964
44,宮崎県,23.9864268118529,22.6152985704777,85.0184184452239,81.1143920275023,101.578437083477,93.8896246286794
45,鹿児島県,24.0369563766739,22.711693682043,85.0528703509497,80.7743933496405,103.772368494709,95.7441919888109
46,沖縄県,25.0185611851307,23.4875062727148,87.2563437897413,82.323675744739,102.912624150763,94.7036322222801

