,地区ID,地区,总死亡率男,总死亡率女,癌症总死亡率男,癌症总死亡率女,胃癌死亡率男,胃癌死亡率女,肠癌死亡率男,肠癌死亡率女,肝癌死亡率男,肝癌死亡率女,肺癌死亡率男,肺癌死亡率女
0,01,北海道,101,97.6,107.7,108,95.2,93.8,105.3,110.2,92.3,84.9,116.7,123.4
1,02,青森,119.8,109.6,116.4,108.1,117.9,112.7,135.9,122.6,95.3,88.9,113.9,96.2
2,03,岩手,113.7,110.4,98.4,96.2,94.1,85.2,108.3,115.1,73.3,75.8,94.8,83.6
3,04,宮城,107,111.9,97.5,99.1,95.2,93.9,96.1,109.6,71.7,81.6,101.7,97.4
4,05,秋田,109.6,104.2,108.2,100.4,132.6,131.4,121.7,111.1,65.2,64.2,92.8,81.9
5,06,山形,100.9,101.1,99.5,99.7,120.7,123,96.6,103.4,72.4,83.8,97.9,84.2
6,07,福島,106.3,104.8,99.3,95.3,105.6,101.5,105,101.4,80.6,82.6,97.3,88.9
7,08,茨城,104.2,105.5,100.7,98.5,114.7,110.4,105.4,99.5,93.7,85,96.6,86.8
8,09,栃木,105.6,107.6,99.4,99.7,112.2,109.4,107.2,105.4,96.3,85.2,96.6,89.1
9,10,群馬,100.7,102.4,96.9,97.4,102.9,102.5,106,102.7,89.7,99.6,96.8,90.6
10,11,埼玉,99.5,104.4,98.6,101.5,107.7,105.1,104.3,100.8,85.9,93.3,96.6,99.8
11,12,千葉,97,101.6,94.8,97.5,100.9,102.4,98,97.9,90.3,82.5,90.9,95.1
12,13,東京,97.2,98.9,99.6,103.7,98.8,98.3,107.1,104.3,92.6,93.5,94.2,107
13,14,神奈川,94.9,96.6,98.1,101,99.2,95.7,105.3,105.6,88.4,91.7,92.7,102.8
14,15,新潟,98.8,94.6,101.9,96.2,116.9,119.1,99.8,106.8,65.2,63.7,99.9,81.4
15,16,富山,99.3,96,98.4,99.5,111.3,120.8,100,102.3,81,85.4,95,79.8
16,17,石川,98.4,95.4,100,100.4,104.2,111.5,95.6,95.3,89.6,85.6,106.1,99
17,18,福井,94.5,95.5,93.1,97,91.4,104.2,82.8,92.3,86.9,106,104.6,89.6
18,19,山梨,97.1,96.8,94.8,92.5,91.9,100.6,93.9,92.6,121.9,108.8,84.9,81.1
19,20,長野,90.3,94.5,84.6,90.1,84.4,89.2,87.6,92.7,65.6,77.4,75.3,74.3
20,21,岐阜,97.3,101.6,93.1,97.4,102.2,113.7,94.6,103.1,85.6,90.6,95.1,87.7
21,22,静岡,97.5,99.9,94.4,92.8,88.2,91.4,93.4,91,102.2,86.9,91.3,81.4
22,23,愛知,99.1,103.2,98.9,99.7,103.8,103.2,101.5,107.5,90.6,92.4,103.4,98.9
23,24,三重,99.7,102.3,94.9,91.9,95.9,100.4,95.2,88.7,83.8,84.9,104.3,90.5
24,25,滋賀,92.7,97.3,94.1,95.2,98.1,105,83.1,90.7,81.1,85.9,103.7,94.9
25,26,京都,96.2,98.4,99.8,105.1,99.4,102.3,99.5,107.2,101.9,108.1,107.1,118.9
26,27,大阪,106.2,104.5,110.6,110.5,111.5,109.8,106.1,105.9,133.8,135.3,115.7,126.9
27,28,兵庫,100,101.2,105.4,102.9,104.5,106.4,98,99.5,123,121.3,108.1,106.9
28,29,奈良,94.9,98.3,98.9,100.4,107,115.8,83.4,92.2,102.8,102,105.4,104
29,30,和歌山,107,105.4,106.9,100.3,103.7,113.2,101.8,93.2,129.4,116,114.6,108.7
30,31,鳥取,101.3,95.7,104.8,100.2,109.1,110.9,98.1,101.1,117.6,100.1,104.4,106.6
31,32,島根,98.8,93,100.1,93.3,101.3,106.1,103.9,93.5,111.5,100.6,89,80.1
32,33,岡山,97.3,94.8,93.1,90.1,87.1,93.8,77.8,78.2,105.5,108.1,99.1,86.9
33,34,広島,97,95.3,98,96.2,93.2,95.1,87.7,87.6,135,131.4,95.9,99.3
34,35,山口,104.1,100.3,102.4,96,101.7,94.7,102.3,95.1,116.3,104.9,101.3,101.7
35,36,徳島,101.4,99.4,96,92.7,90.3,93,89.8,84,106,112.1,101.9,82.8
36,37,香川,96.6,98.6,92.6,94.5,99.6,103.8,81.4,88,98.8,108.6,102.3,94.7
37,38,愛媛,101.4,98.3,97.4,94.2,98.3,94.7,87.8,82.3,126.4,118.2,99.6,92.8
38,39,高知,103.4,96.3,98.7,93.8,89.8,86.1,90.5,85.4,112.8,107.1,98.9,96
39,40,福岡,102,98,108.7,107.3,98,92.9,102.2,104.2,152,146.3,107.3,113.1
40,41,佐賀,102.7,97,107.6,104.9,103.1,104.8,100.8,99.7,151.4,164.9,102.3,90.1
41,42,長崎,103.1,98.1,105.4,102.9,91.7,88.3,97,103.3,120.3,118.9,111.8,107.9
42,43,熊本,94.7,92.8,92,92.3,67.5,70.4,82.6,86.3,116.2,104.5,95.5,97
43,44,大分,96.7,96.3,94.4,93.6,83.6,81.1,81.8,78.8,111.4,118.6,93,101.7
44,45,宮崎,99.7,96.2,97.4,93.1,87.9,85.9,85.1,80.4,102.9,102,92.6,92.1
45,46,鹿児島,102.1,99.4,97.2,95.9,72.9,73.9,92.1,88.6,102.1,114.7,92.3,98.4
46,47,沖縄,97.8,87.5,90.7,88.7,52.5,53.6,115,88.7,68.8,69.9,100.8,98

