,5位数字ID,地点或企业,都道府县,市町村或企业,水量,硝酸盐浓度,Na浓度,Cl浓度,硬度,蒸发残留物,TOC
0,24-010,三重県いなべ市,三重県,いなべ市,16339.0,0.902662341636575,5.131280984148357,4.08861007405594,87.89111940755248,120.08837750168308,0.312583389436318
1,24-015,三重県亀山市,三重県,亀山市,19071.0,0.925633160295737,10.7302343872896,11.76420743537308,53.52980965864401,113.52786954013948,0.3
2,24-009,三重県伊勢市,三重県,伊勢市,31149.0,1.4184500304985714,6.2956370991043045,5.94224854730489,56.85973867539889,101.62830267424316,0.3
3,24-005,三重県伊賀市,三重県,伊賀市,13917.0,0.8860738664942157,7.628813681109435,8.825630523819788,50.603290939139185,91.71265358913558,0.6954372350362865
4,24-004,三重県四日市市,三重県,四日市市,73166.0,1.746690265970533,9.422682666812454,8.505830577043984,62.61069349151245,114.65501735778913,0.2626506847442801
5,24-043,三重県多気町,三重県,多気町,2066.0,2.180832526621491,6.274443368828654,6.597773475314619,64.16940948693127,108.9138431752178,0.3
6,24-014,三重県尾鷲市,三重県,尾鷲市,9935.0,0.2,3.7,3.7,9.0,18.0,0.3
7,24-055,三重県御浜町,三重県,御浜町,3770.0,0.7539787798408488,5.8,6.122148541114059,23.69893899204244,72.39787798408489,0.1
8,24-048,三重県明和町,三重県,明和町,5478.0,2.4921686746987954,8.038353413654619,7.781124497991968,50.780759401241326,100.09529025191675,0.3
9,24-021,三重県朝日町,三重県,朝日町,2213.0,0.9659737912336195,9.793447808404881,7.263578852236782,87.24446452779033,178.17894261183912,0.3704473565295978
10,24-035,三重県東員町,三重県,東員町,26127.0,1.5333333333333334,6.3999999999999995,5.666666666666667,59.333333333333336,126.66666666666667,0.3
11,24-008,三重県松阪市,三重県,松阪市,25900.0,0.8618996138996139,5.3006023166023155,5.017594594594595,45.128571428571426,64.62069498069498,0.3
12,24-001,三重県桑名市,三重県,桑名市,4306.0,0.5955411054342776,11.761751045053414,5.774314909428704,38.85671156525778,96.53135160241523,0.30000000000000004
13,24-003,三重県津市,三重県,津市,16563.0,1.0203815733864638,12.14204552315402,7.449175873935882,50.071424258890296,119.06357543923203,0.5714363339974643
14,24-006,三重県熊野市,三重県,熊野市,7050.0,0.8167659574468085,15.989730496453902,29.31878014184397,29.75404255319149,96.31787234042554,0.12863829787234043
15,24-037,三重県玉城町,三重県,玉城町,6487.0,0.5,4.4,4.2,32.0,57.0,0.3
16,24-007,三重県紀北町,三重県,紀北町,8409.0,0.5,4.665429896539422,3.2962896896182663,17.962896896182663,43.95362112022833,0.3
17,24-016,三重県菰野町,三重県,菰野町,11071.0,1.2801011652063952,9.605518923313161,4.087291120946618,25.872911209466174,93.80101165206395,0.3
18,24-012,三重県鈴鹿市,三重県,鈴鹿市,61808.0,1.554394900336526,11.045524851151955,11.327839438260419,55.239451203727675,107.68340667874709,0.19731911726637327
19,24-002,三重県鳥羽市,三重県,鳥羽市,3898.0,0.5,7.3,7.9,46.0,86.0,0.3
20,26-025,京都府久御山町,京都府,久御山町,3058.0,0.4,12.0,9.3,41.0,130.0,0.6
21,26-012,京都府亀岡市,京都府,亀岡市,28013.0,0.862245386070753,7.678067325884411,8.561357227001748,45.55874058472852,85.89294256238175,0.2
22,26-029,京都府井手町,京都府,井手町,2114.0,0.3,12.3,5.3,41.0,99.0,0.3
23,26-033,京都府京丹波町,京都府,京丹波町,150.0,0.088,2.7,4.16,5.8,32.0,0.38
24,26-008,京都府京田辺市,京都府,京田辺市,14142.0,1.461239570074954,23.16607976240984,20.93728609814736,50.50622259934946,149.36027436006222,0.5913237165888842
25,26-007,京都府八幡市,京都府,八幡市,25269.0,0.40981123115279594,7.571649056155764,8.930238632316277,35.21417547192212,100.98266650836995,0.7160631603941588
26,26-028,京都府八木町,京都府,八木町,1500.0,0.54,6.1,5.5,32.0,66.0,0.3
27,26-004,京都府向日市,京都府,向日市,9607.0,0.21,33.0,24.0,57.0,158.0,0.3
28,26-006,京都府城陽市,京都府,城陽市,19532.0,0.5125040958427196,10.41373131271759,4.549165472045873,24.513106696702845,98.00599016997748,0.30000000000000004
29,26-023,京都府大山崎町,京都府,大山崎町,5148.0,0.13712703962703965,20.76243201243201,14.372921522921523,70.7016317016317,180.6021756021756,0.37624320124320126
30,26-005,京都府宇治市,京都府,宇治市,18874.0,1.071535975415916,13.814898802585569,12.574202606760624,50.07369926883543,108.6861290664406,0.37908763378192223
31,26-026,京都府宇治田原町,京都府,宇治田原町,4463.0,3.153125700201658,6.835155724848756,8.211718574949584,50.710956755545595,100.70311449697513,0.4
32,26-010,京都府木津川市,京都府,木津川市,9815.0,2.150178298522669,14.827264391237902,12.71994905756495,64.97717778909832,136.59001528273052,0.3432603158430973
33,26-015,京都府福知山市,京都府,福知山市,21037.0,0.8438674715976614,7.34763987260541,10.122507962161906,57.80681656129676,103.993440129296,0.33798070067024766
34,26-011,京都府精華町,京都府,精華町,6315.0,0.35,16.5,9.4,68.0,160.0,0.3
35,26-014,京都府綾部市,京都府,綾部市,8545.0,1.2555482738443533,7.610895260386191,9.398022235225278,44.66342890579286,94.12873025160913,0.3
36,26-016,京都府舞鶴市,京都府,舞鶴市,132.0,0.48999999999999994,7.3,8.2,27.0,62.0,0.1
37,26-003,京都府長岡京市,京都府,長岡京市,13746.0,0.1,24.0,21.0,74.0,189.0,0.4
38,41-003,佐賀県伊万里市,佐賀県,伊万里市,2241.0,0.65,6.3,6.8,36.0,85.0,1.4
39,41-001,佐賀県佐賀市,佐賀県,佐賀市,4300.0,0.8591046511627907,11.596697674418603,7.399162790697675,72.72348837209303,139.59558139534883,0.3
40,41-039,佐賀県嬉野市,佐賀県,嬉野市,47.0,0.3,4.9,3.7,28.0,72.0,0.3
41,41-021,佐賀県小城市,佐賀県,小城市,2684.0,1.5312220566318924,7.477645305514158,6.10473174366617,78.95305514157972,129.0037257824143,0.30000000000000004
42,41-008,佐賀県武雄市,佐賀県,武雄市,11087.0,0.6978668711103093,7.8656805267430325,10.61002976458916,40.66420131685758,80.13727789302787,0.7335798683142419
43,41-011,佐賀県江北町,佐賀県,江北町,2538.0,0.77,8.4,12.4,42.0,78.0,0.6
44,41-032,佐賀県白石町,佐賀県,白石町,5603.0,0.7699999999999999,8.4,12.400000000000002,42.0,78.0,0.6
45,41-005,佐賀県鹿島市,佐賀県,鹿島市,7811.0,0.9939572397900397,10.377326846754578,6.919587760850083,66.82524644731788,154.45538343361926,0.30000000000000004
46,28-022,兵庫県たつの市,兵庫県,たつの市,20025.0,2.2506267166042444,9.796654182272162,11.643975031210987,41.39660424469413,131.6762047440699,0.1960549313358302
47,28-037,兵庫県三木市,兵庫県,三木市,16520.0,1.1119249394673123,11.081658595641647,12.16682808716707,23.438377723970945,101.74219128329298,0.10000000000000002
48,28-045,兵庫県丹波市(中央),兵庫県,丹波市(中央),16903.0,0.6831769508371294,17.90346092409631,29.601550020706384,57.33733656747323,141.7225936224339,0.721771283204165
49,28-090,兵庫県丹波市(山南),兵庫県,丹波市(山南),3987.0,0.9614647604715324,8.467544519688989,8.12493102583396,39.58866315525458,90.6553799849511,0.679834462001505
50,28-098,兵庫県丹波市(市島),兵庫県,丹波市(市島),3216.0,1.0629259950248755,10.541324626865672,12.596610696517414,99.41417910447761,110.86100746268657,0.6433768656716419
51,28-091,兵庫県佐用町,兵庫県,佐用町,1939.0,1.7353790613718412,6.268953068592058,7.829602888086644,55.148014440433215,147.5740072202166,0.30000000000000004
52,28-021,兵庫県加古川市,兵庫県,加古川市,9043.0,1.6688200818312506,19.053190312949244,16.930907884551587,65.26009067787238,150.81975008293708,0.8097865752515757
53,28-032,兵庫県加東市,兵庫県,加東市,4360.0,0.2,6.0,5.8,26.0,77.0,1.8
54,28-039,兵庫県太子町,兵庫県,太子町,6201.0,1.2,16.0,13.0,52.0,117.0,0.2
55,28-008,兵庫県姫路市,兵庫県,姫路市,3672.0,2.242892156862745,9.860403050108934,9.904820261437909,61.604030501089326,117.8425925925926,0.30000000000000004
56,28-020,兵庫県宝塚市,兵庫県,宝塚市,15445.0,0.7394405956620266,30.170670119779864,32.99067659436711,61.98135318873422,196.06668824862416,0.45213337649724833
57,28-038,兵庫県小野市,兵庫県,小野市,4951.0,2.17101595637245,11.725247424762674,14.504544536457281,52.39567764088063,115.34033528580085,0.4238537669157746
58,28-025,兵庫県川西市,兵庫県,川西市,6283.0,0.7,21.4,18.3,70.0,187.0,0.4
59,28-060,兵庫県市川町,兵庫県,市川町,4615.0,1.6947323943661974,8.034669555796317,8.50962080173348,41.9534127843987,130.48147345612134,0.3330660888407367
60,28-086,兵庫県播磨町,兵庫県,播磨町,9100.0,0.7736219780219781,13.611956043956043,13.230945054945053,30.063296703296704,136.01406593406594,0.3
62,28-085,兵庫県新温泉町,兵庫県,新温泉町,2762.0,0.5,10.0,12.0,28.0,80.0,0.3
63,28-009,兵庫県明石市,兵庫県,明石市,68140.0,0.49296022894041686,31.790974464338127,86.44025535661872,118.4905928969768,320.6142647490461,1.130290578221309
64,28-065,兵庫県朝来市,兵庫県,朝来市,8359.0,1.3067208996291424,7.254504127287953,7.305503050604139,38.92606771144874,109.23304222993181,0.35427682737169514
66,28-078,兵庫県猪名川町,兵庫県,猪名川町,314.0,0.6,11.0,12.0,48.0,106.0,0.3
67,28-095,兵庫県神河町,兵庫県,神河町,1967.0,0.7387646161667515,5.112353838332486,3.912353838332486,28.303507880020337,73.71886120996442,0.31235383833248603
68,28-071,兵庫県稲美町,兵庫県,稲美町,9409.0,2.1689892655967693,12.929535551068124,16.609278350515464,24.42491231799341,124.47369539802317,0.18836220639812948
69,28-005,兵庫県西宮市,兵庫県,西宮市,8159.0,0.38,27.4,34.3,71.0,168.0,0.6
71,28-027,兵庫県西脇市(西脇地区),兵庫県,西脇市(西脇地区),2150.0,1.9724418604651164,15.193023255813953,13.650046511627906,54.125116279069765,142.08372093023254,0.4310232558139535
72,28-068,兵庫県西脇市(黒田庄),兵庫県,西脇市(黒田庄),1372.0,2.568877551020408,15.66326530612245,19.663265306122447,52.33673469387755,163.31632653061226,0.3994897959183673
73,28-004,兵庫県豊岡市,兵庫県,豊岡市,28200.0,0.45740744680851064,16.293882978723403,18.534425531914895,65.86159574468086,140.2776595744681,0.1301063829787234
74,28-088,兵庫県赤穂市(北部),兵庫県,赤穂市(北部),1260.0,2.4238095238095236,9.523809523809524,10.714285714285714,72.19047619047619,135.71428571428572,0.1523809523809524
75,28-019,兵庫県赤穂市(南部),兵庫県,赤穂市(南部),36362.0,0.7131029646334086,7.086175127880755,6.836301633573512,45.694901270557175,83.11649524228591,0.3419778890050052
76,28-024,兵庫県養父市,兵庫県,養父市,2225.0,1.5,11.0,9.1,63.0,100.0,0.2
77,28-023,兵庫県香美町,兵庫県,香美町,4025.0,0.52,9.2,11.3,28.0,72.0,0.3
78,28-003,兵庫県高砂市,兵庫県,高砂市,22972.0,0.7398994427999304,21.590240292530037,23.590240292530037,52.31216263277033,117.7072087759011,0.6819519414939926
79,01-129,北海道七飯町,北海道,七飯町,7721.0,0.211385830850926,6.723079911928508,4.890778396580753,27.86154643180935,68.67698484652247,0.10000000000000002
80,01-111,北海道上富良野町,北海道,上富良野町,2638.0,0.9691281273692193,5.651478392721759,5.3532221379833205,40.57391963608794,112.5322213798332,0.3
81,01-093,北海道上川町(中央),北海道,上川町(中央),1248.0,0.24,4.2,2.5,13.0,50.0,0.3
82,01-083,北海道上川町(層雲峡),北海道,上川町(層雲峡),1483.0,0.29,3.0,1.8,13.0,58.0,0.3
83,01-065,北海道伊達市,北海道,伊達市,5754.0,0.4828467153284672,9.238790406673619,12.196141814389991,74.6830031282586,152.77580813347237,0.09999999999999999
84,01-022,北海道余市町,北海道,余市町,177.0,0.2167231638418079,7.610169491525424,10.401694915254236,23.757062146892654,71.77966101694915,0.5881355932203389
85,01-041,北海道倶知安町,北海道,倶知安町,5176.0,0.4008423493044822,8.369783616692427,6.868315301391035,27.33500772797527,111.75328438948995,0.19673493044822257
86,01-080,北海道八雲町,北海道,八雲町,3468.0,4.51,17.0,21.1,72.0,179.0,0.1
87,01-137,北海道別海町,北海道,別海町,2475.0,0.5,14.0,5.8,34.0,122.0,0.3
88,01-140,北海道北斗市(大野),北海道,北斗市(大野),1551.0,0.9399999999999998,4.6,6.8,41.0,101.0,0.10000000000000002
89,01-066,北海道北見市,北海道,北見市,2368.0,0.31,3.8,2.1,12.0,63.0,2.2
90,01-059,北海道名寄市,北海道,名寄市,1213.0,0.1,13.155070074196209,11.08474855729596,112.01483924154988,227.29018961253092,2.4819455894476508
91,01-072,北海道富良野市,北海道,富良野市,5614.0,5.535226220163876,5.657463484146776,6.136195226220163,125.51122194513715,161.65301033131456,0.3070894193088707
92,01-031,北海道帯広市,北海道,帯広市,52.0,1.5,2.8999999999999995,1.5,20.0,52.0,0.7
93,01-053,北海道弟子屈町,北海道,弟子屈町,833.0,0.6,15.0,6.2,44.0,137.0,0.3
94,01-122,北海道当麻町,北海道,当麻町,2386.0,2.83,5.5,6.5,49.0,66.0,0.4
95,01-073,北海道恵庭市,北海道,恵庭市,15977.0,0.1,6.2,7.6,22.0,78.0,0.5
96,01-064,北海道斜里町,北海道,斜里町,3930.0,1.18,8.2,7.5,30.0,98.0,0.3
97,01-060,北海道新ひだか町,北海道,新ひだか町,5886.0,0.71,6.6,5.700000000000001,102.0,144.0,0.3
98,01-089,北海道日高町,北海道,日高町,3910.0,0.9543222506393862,9.021227621483376,11.7460358056266,131.6777493606138,176.58056265984655,0.6
99,01-015,北海道木古内町,北海道,木古内町,2010.0,0.17,10.0,12.7,21.0,70.0,0.5
100,01-144,北海道東神楽町,北海道,東神楽町,4600.0,1.05,16.0,12.85,52.75,175.0,0.3
101,01-027,北海道様似町,北海道,様似町,1593.0,0.35,6.7,8.2,43.0,82.0,0.9
102,01-113,北海道標茶町,北海道,標茶町,1772.0,0.5,22.0,10.2,46.0,159.0,0.3
103,01-051,北海道江別市,北海道,江別市,20100.0,0.1,5.9,7.5,21.0,76.0,0.5
104,01-071,北海道洞爺湖町,北海道,洞爺湖町,4517.0,0.806619437679876,18.0941332742971,21.295616559663493,151.1914987823777,273.0152756254151,0.27941111357095416
105,01-103,北海道津別町,北海道,津別町,2844.0,0.16,3.9,2.3,156.0,76.0,0.3
106,01-090,北海道浜中町,北海道,浜中町,504.0,0.05,10.6,3.1,39.0,130.0,0.3
107,01-010,北海道浦河町,北海道,浦河町,3800.0,0.36,3.7,3.5,29.0,60.0,0.3
108,01-109,北海道湧別町,北海道,湧別町,903.0,1.32,11.0,10.199999999999998,45.0,130.0,0.3
109,01-028,北海道白糠町,北海道,白糠町,3424.0,0.63,12.0,4.9,62.0,140.0,1.5
110,01-100,北海道白老町,北海道,白老町,4287.0,0.2,11.19472824819221,8.704012129694425,27.20200606484721,74.18567763004432,0.3
111,01-005,北海道稚内市,北海道,稚内市,19890.0,0.5,11.3,14.5,16.0,70.0,1.5
112,01-032,北海道網走市,北海道,網走市,18784.0,0.9285599446337308,5.574382453151618,4.651820698466779,29.64629471890971,91.5182069846678,0.3
113,01-036,北海道美唄市,北海道,美唄市,2417.0,0.28,6.5,8.8,30.0,62.0,1.0
114,01-018,北海道美幌町,北海道,美幌町,6217.0,0.42,4.9,3.6,13.0,84.0,1.1
115,01-069,北海道美瑛町,北海道,美瑛町,2704.0,0.5,3.1616124260355027,1.3262573964497042,21.484837278106507,65.71708579881657,0.30000000000000004
116,01-052,北海道芽室町,北海道,芽室町,831.0,0.2,4.6,1.1,29.0,69.0,0.3
118,01-138,北海道訓子府町,北海道,訓子府町,673.0,1.7024517087667161,6.918870728083211,3.2147102526002973,40.52897473997028,120.46062407132244,0.6904903417533433
119,01-044,北海道足寄町,北海道,足寄町,2100.0,0.2,4.0,1.3,9.0,80.0,0.7
120,01-098,北海道長万部町,北海道,長万部町,2440.0,0.01,15.0,12.9,52.0,149.0,0.1
122,12-033,千葉県佐倉市,千葉県,佐倉市,49509.0,0.023695085741986307,10.602312710820256,5.651657274434951,65.60247631743724,139.36411561534266,0.363049142580137
124,12-013,千葉県八千代市,千葉県,八千代市,28465.0,0.019999999999999997,12.308684349200773,6.424303530651677,64.36616897944845,154.42104338661514,0.46080098366414896
125,12-036,千葉県八街市,千葉県,八街市,12074.0,0.02,6.58544807023356,6.3399287725691575,61.01863508365082,125.74623157197283,0.3
126,12-080,千葉県勝浦市,千葉県,勝浦市,315.0,0.02,21.8,15.5,160.0,298.0,0.4
127,12-002,千葉県千葉市,千葉県,千葉市,13118.0,0.9042125323982315,23.57855618234487,18.785752401280682,91.37002591858516,196.67723738374752,0.573479188900747
129,12-093,千葉県南房総市,千葉県,南房総市,3535.0,2.5402687411598306,31.305374823196605,38.9053748231966,91.21612446958981,238.0806223479491,0.7
