"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2015100000","2015年度","01100","北海道 札幌市","","1,952,356","","910,614","","1,041,742",""
"2015100000","2015年度","01101","北海道 札幌市 中央区","","237,627","","107,756","","129,871",""
"2015100000","2015年度","01102","北海道 札幌市 北区","","285,321","","134,534","","150,787",""
"2015100000","2015年度","01103","北海道 札幌市 東区","","261,912","","124,649","","137,263",""
"2015100000","2015年度","01104","北海道 札幌市 白石区","","209,584","","99,020","","110,564",""
"2015100000","2015年度","01105","北海道 札幌市 豊平区","","218,652","","101,482","","117,170",""
"2015100000","2015年度","01106","北海道 札幌市 南区","","141,190","","65,305","","75,885",""
"2015100000","2015年度","01107","北海道 札幌市 西区","","213,578","","98,648","","114,930",""
"2015100000","2015年度","01108","北海道 札幌市 厚別区","","127,767","","58,312","","69,455",""
"2015100000","2015年度","01109","北海道 札幌市 手稲区","","140,999","","66,284","","74,715",""
"2015100000","2015年度","01110","北海道 札幌市 清田区","","115,726","","54,624","","61,102",""
"2015100000","2015年度","01202","北海道 函館市","","265,979","","120,376","","145,603",""
"2015100000","2015年度","01203","北海道 小樽市","","121,924","","54,985","","66,939",""
"2015100000","2015年度","01204","北海道 旭川市","","339,605","","156,402","","183,203",""
"2015100000","2015年度","01205","北海道 室蘭市","","88,564","","43,143","","45,421",""
"2015100000","2015年度","01206","北海道 釧路市","","174,742","","82,185","","92,557",""
"2015100000","2015年度","01207","北海道 帯広市","","169,327","","80,994","","88,333",""
"2015100000","2015年度","01208","北海道 北見市","","121,226","","58,020","","63,206",""
"2015100000","2015年度","01209","北海道 夕張市","","8,843","","4,092","","4,751",""
"2015100000","2015年度","01210","北海道 岩見沢市","","84,499","","39,319","","45,180",""
"2015100000","2015年度","01211","北海道 網走市","","39,077","","19,819","","19,258",""
"2015100000","2015年度","01212","北海道 留萌市","","22,221","","10,516","","11,705",""
"2015100000","2015年度","01213","北海道 苫小牧市","","172,737","","84,605","","88,132",""
"2015100000","2015年度","01214","北海道 稚内市","","36,380","","17,809","","18,571",""
"2015100000","2015年度","01215","北海道 美唄市","","23,035","","10,753","","12,282",""
"2015100000","2015年度","01216","北海道 芦別市","","14,676","","6,667","","8,009",""
"2015100000","2015年度","01217","北海道 江別市","","120,636","","57,391","","63,245",""
"2015100000","2015年度","01218","北海道 赤平市","","11,105","","5,025","","6,080",""
"2015100000","2015年度","01219","北海道 紋別市","","23,109","","10,954","","12,155",""
"2015100000","2015年度","01220","北海道 士別市","","19,914","","9,382","","10,532",""
"2015100000","2015年度","01221","北海道 名寄市","","29,048","","14,072","","14,976",""
"2015100000","2015年度","01222","北海道 三笠市","","9,076","","4,075","","5,001",""
"2015100000","2015年度","01223","北海道 根室市","","26,917","","12,862","","14,055",""
"2015100000","2015年度","01224","北海道 千歳市","","95,648","","48,588","","47,060",""
"2015100000","2015年度","01225","北海道 滝川市","","41,192","","19,475","","21,717",""
"2015100000","2015年度","01226","北海道 砂川市","","17,694","","8,216","","9,478",""
"2015100000","2015年度","01227","北海道 歌志内市","","3,585","","1,652","","1,933",""
"2015100000","2015年度","01228","北海道 深川市","","21,909","","10,118","","11,791",""
"2015100000","2015年度","01229","北海道 富良野市","","22,936","","10,783","","12,153",""
"2015100000","2015年度","01230","北海道 登別市","","49,625","","23,533","","26,092",""
"2015100000","2015年度","01231","北海道 恵庭市","","69,702","","33,781","","35,921",""
"2015100000","2015年度","01233","北海道 伊達市","","34,995","","16,279","","18,716",""
"2015100000","2015年度","01234","北海道 北広島市","","59,064","","28,273","","30,791",""
"2015100000","2015年度","01235","北海道 石狩市","","57,436","","27,548","","29,888",""
"2015100000","2015年度","01236","北海道 北斗市","","46,390","","21,641","","24,749",""
"2015100000","2015年度","01303","北海道 当別町","","17,278","","8,314","","8,964",""
"2015100000","2015年度","01304","北海道 新篠津村","","3,329","","1,604","","1,725",""
"2015100000","2015年度","01331","北海道 松前町","","7,337","","3,283","","4,054",""
"2015100000","2015年度","01332","北海道 福島町","","4,422","","2,047","","2,375",""
"2015100000","2015年度","01333","北海道 知内町","","4,653","","2,306","","2,347",""
"2015100000","2015年度","01334","北海道 木古内町","","4,547","","2,150","","2,397",""
"2015100000","2015年度","01337","北海道 七飯町","","28,120","","12,820","","15,300",""
"2015100000","2015年度","01343","北海道 鹿部町","","4,226","","2,053","","2,173",""
"2015100000","2015年度","01345","北海道 森町","","15,946","","7,324","","8,622",""
"2015100000","2015年度","01346","北海道 八雲町","","17,252","","8,401","","8,851",""
"2015100000","2015年度","01347","北海道 長万部町","","5,926","","2,869","","3,057",""
"2015100000","2015年度","01361","北海道 江差町","","8,248","","3,910","","4,338",""
"2015100000","2015年度","01362","北海道 上ノ国町","","4,876","","2,193","","2,683",""
"2015100000","2015年度","01363","北海道 厚沢部町","","4,049","","1,918","","2,131",""
"2015100000","2015年度","01364","北海道 乙部町","","3,906","","1,791","","2,115",""
"2015100000","2015年度","01367","北海道 奥尻町","","2,690","","1,372","","1,318",""
"2015100000","2015年度","01370","北海道 今金町","","5,628","","2,680","","2,948",""
"2015100000","2015年度","01371","北海道 せたな町","","8,473","","3,952","","4,521",""
"2015100000","2015年度","01391","北海道 島牧村","","1,499","","734","","765",""
"2015100000","2015年度","01392","北海道 寿都町","","3,137","","1,528","","1,609",""
"2015100000","2015年度","01393","北海道 黒松内町","","3,082","","1,415","","1,667",""
"2015100000","2015年度","01394","北海道 蘭越町","","4,843","","2,322","","2,521",""
"2015100000","2015年度","01395","北海道 ニセコ町","","4,958","","2,512","","2,446",""
"2015100000","2015年度","01396","北海道 真狩村","","2,103","","1,037","","1,066",""
"2015100000","2015年度","01397","北海道 留寿都村","","1,907","","951","","956",""
"2015100000","2015年度","01398","北海道 喜茂別町","","2,294","","1,171","","1,123",""
"2015100000","2015年度","01399","北海道 京極町","","3,187","","1,553","","1,634",""
"2015100000","2015年度","01400","北海道 倶知安町","","15,018","","7,538","","7,480",""
"2015100000","2015年度","01401","北海道 共和町","","6,224","","3,243","","2,981",""
"2015100000","2015年度","01402","北海道 岩内町","","13,042","","6,174","","6,868",""
"2015100000","2015年度","01403","北海道 泊村","","1,771","","888","","883",""
"2015100000","2015年度","01404","北海道 神恵内村","","1,004","","462","","542",""
"2015100000","2015年度","01405","北海道 積丹町","","2,115","","1,004","","1,111",""
"2015100000","2015年度","01406","北海道 古平町","","3,188","","1,518","","1,670",""
"2015100000","2015年度","01407","北海道 仁木町","","3,498","","1,625","","1,873",""
"2015100000","2015年度","01408","北海道 余市町","","19,607","","9,063","","10,544",""
"2015100000","2015年度","01409","北海道 赤井川村","","1,121","","566","","555",""
"2015100000","2015年度","01423","北海道 南幌町","","7,927","","3,739","","4,188",""
"2015100000","2015年度","01424","北海道 奈井江町","","5,674","","2,659","","3,015",""
"2015100000","2015年度","01425","北海道 上砂川町","","3,479","","1,575","","1,904",""
"2015100000","2015年度","01427","北海道 由仁町","","5,314","","2,536","","2,778",""
"2015100000","2015年度","01428","北海道 長沼町","","11,076","","5,293","","5,783",""
"2015100000","2015年度","01429","北海道 栗山町","","12,344","","5,740","","6,604",""
"2015100000","2015年度","01430","北海道 月形町","","4,577","","2,841","","1,736",""
"2015100000","2015年度","01431","北海道 浦臼町","","1,985","","956","","1,029",""
